operational_priority,engine_id,current_cycle,recommendation,recommendation_rank,primary_reason_code,primary_reason,all_triggered_reason_codes,recommended_action,predicted_RUL_cycles,RUL_lower_cycles,RUL_upper_cycles,failure_probability_10_cycles,failure_probability_20_cycles,failure_probability_30_cycles,anomaly_percentile,persistent_anomaly_alert
11,61,159,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,14.745071135508638,0.0,33.158464352551704,0.000117341433727,0.1039678110928755,0.9045935756583988,1.0,1
12,56,136,INSPECT,1,CLASSIFICATION_H20_POSITIVE,High frozen probability of failure within 20 cycles,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,16.868743174266687,0.0,35.28213639130975,0.0961425355809994,0.8721563115557188,0.9831072208756994,1.0,1
13,36,126,INSPECT,1,CLASSIFICATION_H20_POSITIVE,High frozen probability of failure within 20 cycles,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,19.292250863026325,0.8788576459832598,37.70564408006939,0.0026562731689464,0.7781453715673082,0.9174526526094152,1.0,1
14,66,147,INSPECT,1,CLASSIFICATION_H20_POSITIVE,High frozen probability of failure within 20 cycles,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,19.94521720264364,1.531823985600571,38.3586104196867,0.0069084904522302,0.8660909395935102,0.982898925157467,1.0,1
15,24,186,INSPECT,1,CLASSIFICATION_H20_POSITIVE,High frozen probability of failure within 20 cycles,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,22.48052578755748,4.067132570514417,40.89391900460055,8.176016317222854e-06,0.3381902675096821,0.9924497645106108,1.0,1
16,53,164,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,23.480636636530832,5.067243419487767,41.8940298535739,1.8538875817814028e-06,0.0059826296547976,0.567089626763534,1.0,1
17,92,150,INSPECT,1,CLASSIFICATION_H20_POSITIVE,High frozen probability of failure within 20 cycles,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,23.65981456232143,5.246421345278364,42.073207779364495,0.0086693148095464,0.552975783428721,0.8429242634648675,1.0,1
18,52,189,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,24.316388566430533,5.902995349387467,42.7297817834736,1.0920015606114288e-07,0.0015973356548566,0.3746569019953337,1.0,1
19,100,198,INSPECT,1,CLASSIFICATION_H20_POSITIVE,High frozen probability of failure within 20 cycles,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,24.33349917343303,5.920105956389964,42.74689239047609,3.752015361648679e-05,0.6675960200165306,0.993745325162107,1.0,1
20,41,123,INSPECT,1,CLASSIFICATION_H20_POSITIVE,High frozen probability of failure within 20 cycles,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,27.877278545698747,9.463885328655682,46.29067176274181,2.61345858305827e-06,0.5521346247627785,0.9431407441259058,0.9873626373626374,1
21,91,234,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,31.533613780992823,13.120220563949758,49.94700699803589,0.0016966623275675,0.0658627817742014,0.2923258782115116,1.0,1
22,64,168,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,32.29492209786905,13.881528880825982,50.70831531491211,3.0040794172857302e-05,0.0417269525486833,0.6269562291983092,0.9961538461538462,1
23,77,162,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30,Schedule inspection and increase monitoring.,35.5649501376534,17.151556920610332,53.97834335469646,5.550644657238215e-06,0.0086649523203717,0.538633496838766,1.0,0
24,18,133,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30,Schedule inspection and increase monitoring.,35.62841266143407,17.215019444391004,54.041805878477135,5.459269113728984e-07,0.0394980461639687,0.4828712322030931,0.9653846153846154,0
25,40,133,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,35.78579024079981,17.372397023756747,54.19918345784288,0.0004029153541928,0.0341000698042646,0.3120991963149552,1.0,1
26,37,121,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30,Schedule inspection and increase monitoring.,35.86956377160375,17.456170554560686,54.282956988646816,1.3762636954309604e-06,0.0573153701714085,0.9371140649529096,0.9741758241758242,0
27,62,232,INSPECT,1,RUL_INTERVAL_REACHES_30,RUL uncertainty interval reaches the 30-cycle inspection horizon,RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,36.90396886126427,18.4905756442212,55.31736207830733,1.496221639788246e-09,2.375323920858054e-05,0.0129008338559203,1.0,1
28,90,146,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,36.98916264628669,18.57576942924362,55.40255586332975,4.8739792336189927e-05,0.0489648723437354,0.6368702178237265,1.0,1
29,58,176,INSPECT,1,CLASSIFICATION_H30_POSITIVE,High frozen probability of failure within 30 cycles,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30,Schedule inspection and increase monitoring.,43.26180288008382,24.848409663040755,61.675196097126886,1.19293647975525e-06,0.0019016401557149,0.2448164823862988,1.0,0
30,3,126,INSPECT,1,RUL_INTERVAL_REACHES_30,RUL uncertainty interval reaches the 30-cycle inspection horizon,RUL_INTERVAL_REACHES_30,Schedule inspection and increase monitoring.,43.32273449409857,24.909341277055503,61.736127711141634,8.424662566155167e-08,0.0001013782172613,0.0111493380172727,0.9846153846153848,0
31,93,244,INSPECT,1,RUL_INTERVAL_REACHES_30,RUL uncertainty interval reaches the 30-cycle inspection horizon,RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,46.92728132038145,28.51388810333838,65.34067453742452,1.0109727870169648e-05,0.0008103083240987,0.0177110141895243,1.0,1
32,17,165,INSPECT,1,PERSISTENT_ANOMALY_ALERT,Frozen persistent anomaly policy is active,PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,48.6061185557929,30.19272533874983,67.01951177283595,2.477285140371861e-10,9.219693424552415e-07,0.0003120628270141,1.0,1
33,32,145,INSPECT,1,PERSISTENT_ANOMALY_ALERT,Frozen persistent anomaly policy is active,PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,50.3711529805395,31.95775976349644,68.78454619758256,1.3982409695474028e-11,1.0342835146955305e-07,0.0002891557781415,1.0,1
34,46,146,INSPECT,1,PERSISTENT_ANOMALY_ALERT,Frozen persistent anomaly policy is active,PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,54.25120720263445,35.83781398559139,72.66460041967753,2.833238888090414e-07,0.0006750387280213,0.0742431952493039,0.9994505494505496,1
35,38,125,INSPECT,1,PERSISTENT_ANOMALY_ALERT,Frozen persistent anomaly policy is active,PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,54.659806359181005,36.24641314213794,73.07319957622407,6.524230806111763e-07,0.0006227752264116,0.0733831059593021,1.0,1
36,21,148,INSPECT,1,PERSISTENT_ANOMALY_ALERT,Frozen persistent anomaly policy is active,PERSISTENT_ANOMALY_ALERT,Schedule inspection and increase monitoring.,66.55756699323156,48.144173776188495,84.97096021027463,2.758384915138861e-13,4.751226831855169e-09,0.0001084132571595,1.0,1
37,84,172,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,65.93954682990405,47.52615361286098,84.35294004694711,1.2495202936107656e-07,7.10352002956001e-05,0.0169623553201178,0.9835164835164836,0
38,94,133,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,67.94139565294228,49.52800243589921,86.35478886998534,7.9558402573268e-08,2.167147844836196e-05,0.002261714060048,0.993956043956044,0
39,98,121,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,68.7323265010678,50.31893328402474,87.14571971811087,3.036202860166705e-10,7.046055861788606e-07,0.0003001438860761,0.9005494505494506,0
40,45,152,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,70.57491419431717,52.16152097727411,88.98830741136024,1.8524011009131767e-08,1.4253300497656993e-05,0.0023525443871821,0.9835164835164836,0
41,72,131,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,76.73069526740484,58.317302050361775,95.1440884844479,5.0432722673371116e-11,3.870889758730112e-07,0.0004158552593998,0.7324175824175824,0
42,63,155,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,78.29856286903905,59.88516965199598,96.71195608608213,2.5837907917074068e-08,1.0956284771384543e-05,0.0025437219511642,0.795054945054945,0
43,43,172,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,79.43534285353353,61.02194963649046,97.8487360705766,8.294192270032786e-09,3.6709430254165626e-05,0.0116255550349894,0.8730769230769231,0
44,10,192,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,81.50694128359201,63.09354806654895,99.92033450063508,1.3075649803314192e-11,4.822412074554291e-07,0.0006519934923387,0.6895604395604396,0
45,79,101,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,81.66951603243076,63.2561228153877,100.08290924947384,2.4209222724833343e-12,3.6926611416383664e-08,8.658623188277745e-05,0.1906593406593406,0
46,27,140,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,81.91791193987271,63.50451872282965,100.33130515691578,1.5219748514085274e-12,1.9844650028263608e-08,5.641422898928599e-05,0.6868131868131868,0
47,4,106,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,82.55017934158782,64.13678612454476,100.96357255863089,7.510549488749624e-10,4.275272402533795e-06,0.0007040429307941,0.8813186813186813,0
48,19,135,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,82.86317650792567,64.4497832908826,101.27656972496874,8.44712564258926e-13,1.089188257679262e-08,3.9662281187880245e-05,0.1719780219780219,0
49,13,195,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,83.70907778337315,65.29568456633008,102.1224710004162,1.7891453900794576e-11,1.165428148529313e-07,0.0003277443614891,0.6098901098901099,0
50,14,46,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,84.17439842654697,65.7610052095039,102.58779164359004,6.291022542174017e-10,9.65705449539881e-07,0.0003526774868296,0.7324175824175824,0
51,74,137,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,84.19318966377026,65.77979644672719,102.60658288081332,4.9491864684027927e-11,1.5187783129588846e-07,0.0001132165564633,0.7428571428571429,0
52,6,105,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,85.1559913517223,66.74259813467924,103.56938456876536,5.1746929346007246e-11,7.023291642352112e-08,5.6544500016370566e-05,0.9725274725274724,0
53,33,50,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,86.42400500623916,68.01061178919609,104.83739822328222,1.828446727486477e-09,2.978957991091738e-06,0.0003176111732455,0.9175824175824177,0
54,15,76,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,87.31988502203936,68.90649180499629,105.73327823908242,1.870390219651863e-14,1.312069036966925e-09,2.6137835272867536e-06,0.5565934065934066,0
55,57,160,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,87.62853337595676,69.2151401589137,106.04192659299984,2.158522012660821e-09,1.4884040510743843e-06,0.0003676367737117,0.7714285714285715,0
56,50,74,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,88.18134522666791,69.76795200962485,106.59473844371098,1.680328784204837e-13,1.690125888782966e-09,4.6493376082515465e-06,0.8219780219780219,0
57,97,134,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,88.55574060785081,70.14234739080774,106.96913382489387,8.90528478825995e-14,1.881283054102964e-10,2.4594604341586414e-06,0.9961538461538462,0
58,80,133,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,88.85631852339826,70.44292530635519,107.26971174044132,2.6540441355737422e-11,1.165600330061365e-07,0.0001528945625625,0.893956043956044,0
59,48,78,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,89.07916461677554,70.66577139973248,107.4925578338186,3.1314640420435468e-12,5.155441644029084e-09,3.579526165309397e-05,0.5241758241758242,0
60,5,98,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,89.45229543563954,71.03890221859648,107.8656886526826,1.2630213042005452e-09,1.491035281682905e-06,0.0003109454363105,0.871978021978022,0
61,60,147,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,89.55083118203513,71.13743796499206,107.9642243990782,3.1493009414690416e-10,6.661678104953851e-07,0.0002247048036466,0.0543956043956044,0
62,70,152,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,89.74464246906479,71.33124925202172,108.15803568610784,2.1444042252769662e-10,6.561890181687816e-07,0.0007212215777459,0.1384615384615384,0
63,29,171,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,89.83761118798702,71.42421797094396,108.25100440503007,3.310412950809028e-12,1.772992047063572e-08,3.0182512861076547e-05,0.6164835164835165,0
64,96,97,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,90.38250785744069,71.96911464039762,108.79590107448377,1.2759269952381738e-15,5.708248808485882e-11,3.4772148720387688e-06,0.0873626373626373,0
65,8,166,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,90.5742151378273,72.16082192078423,108.98760835487036,4.685656241271239e-10,7.08791798730885e-07,0.0009500868886763,0.5637362637362637,0
66,67,71,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,90.76557960050148,72.35218638345842,109.17897281754456,7.132346536027066e-14,6.91708085072454e-10,3.074253035421636e-06,0.9736263736263736,0
67,7,160,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,91.14960466936024,72.73621145231716,109.5629978864033,5.719233073504704e-14,1.4995299545493836e-10,5.231564307130726e-06,0.7368131868131869,0
68,16,113,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,91.88133135350928,73.4679381364662,110.29472457055232,1.2745985233169122e-14,2.5228929235908504e-10,3.585895415633857e-06,0.6269230769230769,0
69,11,83,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,92.04241961904114,73.62902640199808,110.4558128360842,3.116490787891097e-09,9.402629827294692e-06,0.0008924022999795,0.9653846153846154,0
70,86,110,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,92.6526463628863,74.23925314584324,111.06603957992937,1.3391238606354667e-11,4.8228823591114166e-08,1.7769022653159797e-05,0.8664835164835165,0
71,30,143,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,92.92664121092032,74.51324799387726,111.3400344279634,3.753242957624389e-09,5.029360391865125e-06,0.0003913218945217,0.6197802197802198,0
72,47,73,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,93.61212200349,75.19872878644695,112.02551522053308,9.98432063306006e-10,1.1600721357154144e-06,0.0006541585198804,0.4214285714285714,0
73,95,89,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,93.7015844657886,75.28819124874553,112.11497768283166,6.530325255540747e-14,7.835683014780054e-10,9.749747104762876e-06,0.3489010989010989,0
74,99,97,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,94.09630421402844,75.68291099698537,112.5096974310715,7.074713831541011e-17,1.7344161973704128e-12,6.537442452182662e-07,0.356043956043956,0
75,12,217,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,94.79105215862609,76.37765894158301,113.20444537566914,1.521860106336186e-13,1.2352233638947223e-09,1.44252426321714e-05,0.9142857142857144,0
76,87,56,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,94.9080152639345,76.49462204689144,113.32140848097757,1.894318365806668e-15,2.133963215902964e-11,2.7024501296575884e-07,0.8796703296703297,0
77,28,158,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,95.01808985780993,76.60469664076685,113.43148307485298,2.2763688298793678e-10,4.548559293984876e-07,0.0002676261939028,0.056043956043956,0
78,54,121,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,95.3003569987583,76.88696378171524,113.71375021580135,4.996467330224553e-16,6.551723126484033e-12,2.3077775120888505e-07,0.117032967032967,0
79,9,55,CONTINUE,0,NO_FROZEN_WARNING_RULE_ACTIVE,No frozen warning rule is active,NO_FROZEN_WARNING_RULE_ACTIVE,Continue operation under routine monitoring.,96.6304217923564,78.21702857531334,115.04381500939948,1.9890233879364867e-10,7.577154360624916e-08,7.817895161598752e-05,0.6675824175824175,0
