operational_priority,engine_id,current_cycle,predicted_RUL_cycles,RUL_lower_cycles,RUL_upper_cycles,failure_probability_10_cycles,classification_decision_h10,failure_probability_20_cycles,classification_decision_h20,failure_probability_30_cycles,classification_decision_h30,anomaly_percentile,persistent_anomaly_alert,recommendation,primary_reason_code,all_triggered_reason_codes,recommendation_rank,primary_reason,recommended_action
11,81,155,15.983785714285714,0.0,35.94313492063488,0.0455692399238757,0,0.997731287785152,1,0.9995271949448058,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
12,79,170,18.172503968253967,0.0,38.13185317460312,0.0640803210897258,0,0.5956272030149663,1,0.9284809473334796,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
13,98,182,20.094615079365084,0.1352658730159248,40.05396428571424,0.0380994590527001,0,0.8455560832631079,1,0.9948254439805224,1,0.9998936057027343,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
14,71,367,23.530380952380952,3.5710317460317924,43.48973015873011,1.7287034263053645e-06,0,0.0067900078272895,0,0.7648595829676509,1,1.0,1,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
15,100,247,24.03051587301587,4.071166666666709,43.98986507936503,6.364529000450438e-07,0,0.0842859181281089,1,0.2592269011242853,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
16,78,279,24.341825396825392,4.382476190476233,44.30117460317455,7.761055310479264e-05,0,0.6248443372473526,1,0.7668761557453709,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
17,86,174,26.657934523809523,6.698585317460363,46.61728373015868,0.0009795660566005,0,0.2645975841144919,1,0.9075845837345928,1,1.0,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
18,64,271,27.46204761904762,7.502698412698461,47.42139682539678,1.885588471965011e-06,0,0.0115405921435472,0,0.4891169366753353,1,1.0,1,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
19,14,169,27.84376785714286,7.884418650793702,47.80311706349202,0.0091696732953631,0,0.1312779223077164,1,0.4335565620072076,1,0.9991488456218747,1,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
20,3,234,33.072178571428566,13.112829365079406,53.031527777777725,1.9405344073196453e-08,0,0.0037991857567011,0,0.18402744042952,1,1.0,1,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
21,38,133,33.700484126984136,13.741134920634977,53.659833333333296,1.861582630696622e-05,0,0.0706744711779843,1,0.0870904501827783,1,0.9935099478667944,0,INSPECT,CLASSIFICATION_H20_POSITIVE,CLASSIFICATION_H20_POSITIVE|CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30,1,High frozen probability of failure within 20 cycles,Schedule inspection and increase monitoring.
22,76,180,38.45855952380951,18.499210317460346,58.417908730158665,2.050963053060888e-05,0,0.0350356642479475,0,0.4648769150849237,1,0.9864879242472604,0,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
23,40,313,42.71562067099566,22.756271464646503,62.67496987734482,1.549309542051677e-09,0,6.314235824458962e-05,0,0.0625977802734736,0,1.0,1,INSPECT,RUL_INTERVAL_REACHES_30,RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,RUL uncertainty interval reaches the 30-cycle inspection horizon,Schedule inspection and increase monitoring.
24,48,179,47.71276785714288,27.75341865079372,67.67211706349204,4.745031204669485e-06,0,0.0120860516985455,0,0.5736947365721341,1,0.9501010745824023,0,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE|RUL_INTERVAL_REACHES_30,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
25,72,232,48.37589880952383,28.416549603174676,68.33524801587299,4.0987301311365664e-10,0,3.702237399640392e-05,0,0.0006711125915141,0,0.9976593254601553,1,INSPECT,RUL_INTERVAL_REACHES_30,RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,RUL uncertainty interval reaches the 30-cycle inspection horizon,Schedule inspection and increase monitoring.
26,75,191,48.53562301587301,28.576273809523848,68.49497222222217,9.407679931974025e-08,0,0.000196895018841,0,0.0007394481975319,0,0.9807426321949143,0,INSPECT,RUL_INTERVAL_REACHES_30,RUL_INTERVAL_REACHES_30,1,RUL uncertainty interval reaches the 30-cycle inspection horizon,Schedule inspection and increase monitoring.
27,32,120,48.71434523809526,28.754996031746103,68.67369444444442,2.429677593446417e-06,0,0.0018508862014202,0,0.052646008962807,0,0.9941483136503884,1,INSPECT,RUL_INTERVAL_REACHES_30,RUL_INTERVAL_REACHES_30|PERSISTENT_ANOMALY_ALERT,1,RUL uncertainty interval reaches the 30-cycle inspection horizon,Schedule inspection and increase monitoring.
28,1,233,53.39720833333334,33.43785912698418,73.3565575396825,1.6650634828205922e-11,0,5.343093253104877e-07,0,0.0005488232274532,0,1.0,1,INSPECT,PERSISTENT_ANOMALY_ALERT,PERSISTENT_ANOMALY_ALERT,1,Frozen persistent anomaly rule is active,Schedule inspection and increase monitoring.
29,55,203,58.49029365079365,38.53094444444449,78.4496428571428,3.241474495723069e-05,0,0.0027092758000241,0,0.1240854889492413,1,0.997765719757421,0,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
30,59,149,60.71559325396824,40.75624404761908,80.6749424603174,1.0903503287875263e-06,0,0.0022034031722001,0,0.1123090656597587,1,0.990743696137887,0,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
31,20,207,63.18287301587299,43.22352380952383,83.14222222222216,9.244888952657288e-09,0,0.0001519329730751,0,0.0001519329730751,0,0.9963825938929673,1,INSPECT,PERSISTENT_ANOMALY_ALERT,PERSISTENT_ANOMALY_ALERT,1,Frozen persistent anomaly rule is active,Schedule inspection and increase monitoring.
32,25,169,63.737222222222215,43.777873015873055,83.69657142857137,4.604140266822211e-06,0,0.0030098205943778,0,0.2226818534859303,1,0.9723374827109267,0,INSPECT,CLASSIFICATION_H30_POSITIVE,CLASSIFICATION_H30_POSITIVE,1,High frozen probability of failure within 30 cycles,Schedule inspection and increase monitoring.
33,77,381,74.334994047619,54.375644841269846,94.29434325396817,3.5516816509627406e-09,0,6.423644594589353e-05,0,0.0026215976664697,0,0.9979785083519523,1,INSPECT,PERSISTENT_ANOMALY_ALERT,PERSISTENT_ANOMALY_ALERT,1,Frozen persistent anomaly rule is active,Schedule inspection and increase monitoring.
34,23,405,78.3580892857143,58.39874007936514,98.31743849206346,3.6056463266038623e-08,0,3.195117384004839e-06,0,2.0704048560381085e-05,0,0.997127353973827,1,INSPECT,PERSISTENT_ANOMALY_ALERT,PERSISTENT_ANOMALY_ALERT,1,Frozen persistent anomaly rule is active,Schedule inspection and increase monitoring.
35,96,358,88.958869047619,68.99951984126984,100.0,6.764106691758891e-15,0,1.0095704274736033e-08,0,1.298894469078099e-05,0,0.9994680285136717,1,INSPECT,PERSISTENT_ANOMALY_ALERT,PERSISTENT_ANOMALY_ALERT,1,Frozen persistent anomaly rule is active,Schedule inspection and increase monitoring.
36,90,206,51.06973015873016,31.110380952381,71.02907936507933,2.532118040485214e-07,0,0.000251603859926,0,0.0026959915403434,0,0.9622300244706884,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
37,89,120,52.87554960317462,32.91620039682546,72.83489880952378,2.67338739710122e-11,0,4.765878212248261e-05,0,0.0012151859590528,0,0.915097350781998,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
38,62,224,53.7265892857143,33.76724007936514,73.68593849206346,3.6462246594198332e-09,0,0.0017861802437109,0,0.0078226964901052,0,0.9102032131077774,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
39,58,119,59.06244246031748,39.10309325396832,79.02179166666664,3.4640518094891993e-08,0,0.0009531285154055,0,0.0395030568880962,0,0.6950739440365996,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
40,2,124,59.68007738095237,39.72072817460321,79.63942658730153,7.118196433239314e-08,0,0.0006185914764612,0,0.0198557288993728,0,0.7944462176827322,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
41,8,192,61.773083333333325,41.813734126984166,81.73243253968249,8.18955144063242e-07,0,0.0012807430342579,0,0.0373034124940621,0,0.8964783487605065,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
42,87,218,61.83844047619049,41.87909126984133,81.79778968253964,6.706654350794243e-10,0,8.52455945073522e-05,0,0.0035868141350369,0,0.9621236301734227,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
43,34,105,65.22386309523809,45.26451388888893,85.18321230158725,3.289530712841645e-07,0,3.551502365497732e-05,0,0.008222628477156,0,0.9402064049366954,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
44,7,158,67.3595357142857,47.40018650793654,87.31888492063486,1.458121563609697e-07,0,0.0007573532311527,0,0.0055706724123882,0,0.9723374827109267,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
45,11,103,69.37432738095235,49.41497817460319,89.33367658730151,6.615386178423775e-09,0,0.0001081856631679,0,0.000880405107365,0,0.9704223853601447,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
46,42,87,70.77777380952381,50.81842460317465,90.73712301587295,6.830399836228765e-07,0,0.0002540807914815,0,0.0349112752240814,0,0.9116927332694967,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
47,44,146,72.73485119047618,52.77550198412702,92.69420039682534,3.0814164824752894e-06,0,0.0003199820273629,0,0.0007129518694439,0,0.98404085541015,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
48,93,158,77.49242261904759,57.53307341269843,97.45177182539676,1.08251745781337e-11,0,8.088581924631888e-05,0,0.0002423669509396,0,0.341100117033727,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
49,66,122,78.45626587301587,58.49691666666671,98.41561507936504,3.238963630871965e-08,0,0.0004286665782339,0,0.0153819293485397,0,0.8698797744440898,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
50,30,333,79.61216666666664,59.65281746031748,99.5715158730158,8.884975054182096e-10,0,5.4307183585939264e-05,0,0.0013389644180599,0,0.9707415682519417,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
51,31,152,79.94480357142855,59.98545436507939,99.90415277777772,6.083994996841609e-11,0,2.359744120863658e-06,0,0.001620545142376,0,0.9200978827534844,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
52,33,180,81.28643055555555,61.3270813492064,100.0,9.49885324632294e-11,0,2.2157518741696345e-05,0,0.0004517525606302,0,0.8678582827960422,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
53,57,158,83.0517353896104,63.09238618326124,100.0,2.5963081669452548e-08,0,0.000306688216938,0,0.0040609417699655,0,0.7928503032237472,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
54,9,238,83.54433333333334,63.58498412698418,100.0,3.305073421462181e-09,0,1.0824093922496975e-05,0,0.0015036730690213,0,0.8959463772741781,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
55,70,84,83.6619025974026,63.70255339105344,100.0,8.142940265893391e-09,0,7.326923150601859e-05,0,0.0071553249182657,0,0.8821151186296414,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
56,85,118,84.7149843073593,64.75563510101014,100.0,7.747082566328463e-12,0,2.750818524780044e-06,0,0.0013411071125418,0,0.7660389403127993,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
57,10,131,84.99995833333331,65.04060912698415,100.0,7.462821416750678e-12,0,1.6275306596642524e-06,0,0.0001648309878303,0,0.711565060112778,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
58,84,76,85.77839682539681,65.81904761904765,100.0,6.239216851328068e-13,0,3.128166112403975e-07,0,0.0002073367309855,0,0.05936801787424194,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
59,56,162,85.9393268398268,65.97997763347765,100.0,3.095886827986865e-08,0,0.0001129929548515,0,0.0043424954295106,0,0.637833812107671,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
60,91,56,87.83923809523814,67.87988888888898,100.0,6.735529310886605e-10,0,5.088896834408083e-06,0,0.0001125809859097,0,0.9135014363230131,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
61,60,112,88.22274404761906,68.2633948412699,100.0,2.1467127786876758e-10,0,4.500844531100221e-06,0,1.612266278453853e-05,0,0.606234705819768,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
62,83,168,88.46549999999998,68.50615079365082,100.0,8.471880462987118e-10,0,2.729860702070863e-05,0,0.0004213532510046,0,0.5101606553888711,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
63,95,213,90.8049523809524,70.84560317460324,100.0,1.4722307391456778e-11,0,3.4961900115923914e-05,0,0.0001220971756015,0,0.5885732524736674,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
64,51,118,93.18951190476191,73.23016269841276,100.0,4.208776274146786e-10,0,1.0347262905703578e-05,0,0.0038328842695924,0,0.5320778806255985,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
65,68,188,93.1943988095238,73.23504960317464,100.0,4.3298396232181386e-15,0,2.132828695554226e-09,0,5.552062796661093e-07,0,0.16214490903287584,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
66,35,144,96.00498809523808,76.04563888888892,100.0,1.144384055711618e-12,0,8.282729686611821e-06,0,4.3142486385027504e-05,0,0.8645600595808065,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
67,43,133,96.58444047619048,76.62509126984132,100.0,1.216160090731509e-14,0,6.024925704054043e-08,0,3.611077880117026e-07,0,0.23768486009149908,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
68,67,186,97.30045833333332,77.34110912698416,100.0,2.2343151954862643e-09,0,1.580992723199918e-05,0,4.6175021484465686e-05,0,0.8898819023300351,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
69,47,56,97.57516666666666,77.6158174603175,100.0,5.067435102929903e-13,0,7.113467726135093e-07,0,6.179000413314172e-05,0,0.5510160655388872,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
70,29,89,97.58333333333334,77.62398412698418,100.0,4.892632140937424e-11,0,1.0604634973957133e-05,0,4.365193547301759e-05,0,0.8216831577827428,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
71,6,64,97.6335,77.67415079365084,100.0,4.19807170271323e-12,0,7.073687110446955e-06,0,0.0003286558368619,0,0.7560378763698266,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
72,54,50,97.67308333333334,77.71373412698418,100.0,1.3172070864941752e-11,0,5.098910438108637e-06,0,0.0001522035467145,0,0.7698691350143633,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
73,13,65,97.9305,77.97115079365085,100.0,2.426919591894256e-11,0,2.5314246411545275e-06,0,0.0016279515817582,0,0.6364506862432173,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
74,53,108,98.18183333333332,78.22248412698417,100.0,1.6848097590388555e-11,0,3.4794432155918826e-07,0,6.708048928082013e-05,0,0.6654963293967443,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
75,73,109,98.23525,78.27590079365083,100.0,5.784610142390442e-13,0,5.406861411334371e-07,0,4.7664289355946806e-05,0,0.18533886583679116,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
76,49,211,98.24266666666668,78.28331746031752,100.0,1.8055284569119138e-17,0,9.20993768109221e-10,0,4.579179198526928e-08,0,0.5103734439834025,0,CONTINUE,NO_FROZEN_WARNING_RULE_ACTIVE,NO_FROZEN_WARNING_RULE_ACTIVE,0,No frozen warning rule is active,Continue operation and review at the next scheduled cycle.
