role,engine_id,n_rows,PC1,PC2,raw_cluster,latent_group
val_tune,53,164,-2.8287942559052293,0.7657249885266353,1,latent_A
val_tune,58,178,-2.974821046755056,-0.15862888295164018,1,latent_A
val_tune,59,299,2.8159714469427897,-0.3828786241961062,0,latent_B
val_tune,60,190,3.21023969496756,1.1804283396790005,0,latent_B
val_tune,64,195,-1.6399035691242918,-0.7115444341975088,1,latent_A
val_tune,76,153,-2.7186849461745757,-2.0417400894873228,1,latent_A
val_tune,80,147,-2.6437461234503683,0.9743168443910284,1,latent_A
val_tune,85,266,2.7415633130689,0.15426133592781224,0,latent_B
val_tune,88,322,2.6454280821624847,-0.34057515007737044,0,latent_B
val_tune,95,166,-2.302704610348754,-3.0890908234335415,1,latent_A
val_tune,99,145,-3.2555318809516254,-3.6548157130513017,1,latent_A
val_calib,15,202,-3.107991953502335,-3.3509336565737375,1,latent_A
val_calib,21,220,2.730017410007058,-0.18435607410163027,0,latent_B
val_calib,52,222,-2.288704355627652,2.93835250456442,1,latent_A
val_calib,61,199,-2.143096244628032,-1.7177963161783951,1,latent_A
val_calib,72,232,2.362500271441372,-1.2497974587296516,0,latent_B
val_calib,75,259,3.149799963565259,0.8506005949600642,0,latent_B
val_calib,83,181,-2.2590916522003663,-0.04146963441320247,1,latent_A
val_calib,87,172,-2.3774926234112566,-2.3112403743371552,1,latent_A
val_calib,92,158,-3.0117148116431114,-2.5395104598288714,1,latent_A
val_calib,93,171,-3.0124480696885136,0.7840760389426638,1,latent_A
